uid,score,acc
1995,-162.2143746,24.36159595
3255,-162.2153151,24.15274784
2367,-162.2165451,24.17232665
3507,-162.2166335,24.46890112
2362,-162.217453,22.95078167
1763,-162.2182755,22.9062715
2350,-162.2183179,22.46993094
2907,-162.2185192,22.70804672
3027,-162.2186753,23.22607699
1898,-162.2187081,21.96469871
1854,-162.2192155,24.24982314
2556,-162.2194904,24.71351889
1931,-162.2208285,24.61991536
2968,-162.2216223,16.72700772
1902,-162.2217285,23.13102786
3554,-162.2221042,23.50013583
1980,-162.2221552,23.96570042
3037,-162.2223182,22.4425164
2507,-162.2227775,22.80654429
3517,-162.2231312,23.40793285
3740,-162.223355,22.23864098
2041,-162.2240972,23.69036078
2541,-162.2263648,21.81864117
3996,-162.2280508,22.94975459
2873,-162.2288549,23.36778016
2029,-162.2300084,23.92960381
3231,-162.2304619,24.78643111
2233,-162.2305215,22.47274716
1768,-162.2307069,16.07827594
1782,-162.2310721,22.35148676
2712,-162.23272,16.07218342
1214,-162.2332147,23.27074411
3875,-162.234279,24.99634484
2867,-162.2354815,24.5067109
1595,-162.2363011,24.59414004
1835,-162.2364997,24.65272109
1718,-162.2365529,22.72623059
1690,-162.2371922,17.26069766
3491,-162.2373678,25.04765218
1708,-162.2373787,22.56565975
1955,-162.2378149,24.18145206
2040,-162.2383915,24.5327663
2227,-162.238643,24.47218962
3778,-162.2390922,22.95333142
3634,-162.2399198,24.63007571
3943,-162.2414444,24.75995323
2267,-162.242767,23.35688273
4084,-162.2440545,22.93662176
3761,-162.2441697,24.69831598
2934,-162.2444146,23.37539484
2591,-162.2445819,22.57141945
3798,-162.2447696,23.59001693
3880,-162.2447712,23.41725514
2511,-162.2450392,23.53840538
1599,-162.2451601,23.7870858
3534,-162.2454141,24.62319893
1709,-162.2460361,21.53483985
2536,-162.2463417,8.729004618
2713,-162.2468632,16.15795892
1935,-162.2479175,23.61682023
3227,-162.2483591,25.27162634
2851,-162.248612,23.48929519
2557,-162.2493639,23.59017563
3901,-162.2498458,24.1626294
3698,-162.2525311,24.31041082
3577,-162.2529797,24.19848454
2706,-162.2534193,16.98685501
3658,-162.253451,23.75711339
3615,-162.2534554,23.88952437
3294,-162.2536307,24.82640076
3623,-162.2536817,23.96412788
1772,-162.2541055,23.179052
3938,-162.2572231,23.12959676
2266,-162.2572433,22.78038642
3641,-162.2572959,23.4870081
3675,-162.2580536,22.66755541
3867,-162.2584009,23.70641973
1715,-162.2584863,24.35219836
3598,-162.2591865,23.39909497
3501,-162.2592436,22.99778915
3574,-162.259834,24.99225139
2831,-162.2598744,24.26718223
1742,-162.2620751,22.98475538
2531,-162.2621959,22.30225576
2918,-162.2625648,22.08696394
1934,-162.2631287,24.01967879
1582,-162.2647151,22.54115005
3895,-162.2656021,24.25711596
4016,-162.2656871,22.66770121
2483,-162.2662101,23.68774176
1262,-162.2672188,23.64758067
4040,-162.2672966,23.76103026
1914,-162.2675833,22.54935694
2019,-162.2683584,24.80243958
2716,-162.2694849,21.98923184
1594,-162.2705585,22.73933123
3516,-162.2716776,24.57673444
1769,-162.2717379,22.55967749
3735,-162.2720083,23.64305224
4001,-162.2742692,23.59477665
1960,-162.2752088,15.64964083
2296,-162.275898,23.75425731
3991,-162.276136,24.42835284
2206,-162.2761523,21.63843084
3559,-162.2762937,23.62850154
3026,-162.2773029,22.98780296
3674,-162.2783901,22.72114255
3871,-162.2800659,22.8048349
3699,-162.280501,24.80508114
1215,-162.2810271,23.80059487
1762,-162.281476,21.45874743
1961,-162.2820887,23.30018786
2966,-162.2824116,21.69986114
3470,-162.2824458,24.78576839
3885,-162.282597,25.51661626
1899,-162.2834802,23.92697343
2651,-162.2842885,21.97965406
1674,-162.2846685,15.68614151
3308,-162.2851476,24.80130479
2442,-162.2876003,15.2678409
2174,-162.2879654,24.07030712
2774,-162.2884685,20.99618087
1954,-162.2885108,23.02166062
3061,-162.2885656,23.83749602
2950,-162.2897834,22.43364775
1702,-162.2903476,16.31833534
1965,-162.2921506,22.37996527
1977,-162.2925256,23.40919988
1958,-162.2929679,23.47529126
2466,-162.2934003,15.28925277
2777,-162.2937789,22.62375828
2650,-162.2940636,16.80837153
2981,-162.2940959,23.1233481
2997,-162.2946236,23.53005005
3558,-162.2951758,23.56166135
1974,-162.2952294,22.73915941
2207,-162.2954049,21.55287968
3387,-162.295947,23.0646857
3930,-162.2960874,23.74824939
2586,-162.2962245,16.7165861
3964,-162.2969741,24.35516087
2638,-162.2975719,20.69250454
2707,-162.2988629,22.51807047
3645,-162.2988915,23.61268516
3497,-162.2990594,21.71123507
2202,-162.2996379,16.58455472
3915,-162.2996715,24.41927193
1703,-162.3000825,22.55221153
3870,-162.3003025,24.08151328
3825,-162.3028112,25.8326379
1767,-162.30334,21.67872829
3199,-162.3034307,23.996327
2740,-162.3043281,23.19949004
2679,-162.3044392,24.30837068
3241,-162.3053223,23.97056512
2755,-162.3058985,21.68457088
3319,-162.3065164,24.69036793
2866,-162.3070169,23.05336013
2290,-162.3070835,24.57556814
3801,-162.3071394,23.59145321
3692,-162.3076287,24.46807913
2044,-162.3081803,23.40381651
1583,-162.3084938,22.69150227
3760,-162.3085265,22.6122545
2857,-162.3085826,22.10033123
2621,-162.3088829,24.36160288
3704,-162.3091533,23.84458318
3290,-162.3096659,24.12946502
2695,-162.310936,21.41581069
3813,-162.3113922,23.87920051
3260,-162.3122044,23.80008296
4080,-162.3125421,23.0215366
3736,-162.3136792,23.39692465
2035,-162.3141833,24.44783659
3879,-162.3142726,25.43618856
3302,-162.3143261,23.67855668
3629,-162.3143831,23.1150073
3599,-162.3155391,23.91104652
3010,-162.3159814,23.34526358
3897,-162.317229,24.04836724
3851,-162.3174447,23.96129176
3993,-162.3199412,22.52301898
3234,-162.320118,22.812756
4051,-162.3210415,24.3006082
2741,-162.3221811,23.04546992
2285,-162.322497,21.92413453
4081,-162.3230549,23.76734929
2635,-162.323147,20.66646644
2754,-162.3252988,19.80589809
2770,-162.3263374,22.43044399
1959,-162.3263559,22.31469302
2775,-162.3281061,23.18135298
2271,-162.3287894,23.8031533
3800,-162.3292019,22.59544823
2915,-162.3292316,22.26331092
3325,-162.3303142,24.13943847
2856,-162.3305356,8.626317764
1275,-162.3306294,24.83817005
2467,-162.3307373,22.05959789
2681,-162.3310972,23.0713804
2604,-162.3310986,21.59410304
3511,-162.3327955,24.04775427
2870,-162.3327957,23.53824219
3959,-162.3332797,24.19553159
2919,-162.3338572,22.68779032
3944,-162.336783,23.41725514
4068,-162.3370759,22.91637094
2605,-162.3382267,21.93832298
2935,-162.338425,23.76653624
1705,-162.338582,15.83247762
3624,-162.3388752,23.6445239
2977,-162.3390791,23.18233769
1263,-162.3393366,22.93717953
4039,-162.3393452,24.53149283
2860,-162.3401977,21.8918372
3238,-162.3403328,24.38309207
2946,-162.3404949,21.80576191
2617,-162.3412724,22.20215797
3705,-162.3419638,23.88306605
2710,-162.3425537,16.70492446
2535,-162.3429862,23.14859285
2022,-162.3432089,22.2333751
3693,-162.3435795,24.12250515
